ID,pixelcount,UTM
1459452,5,33N
1459453,394,33N
1459464,369,33N
1530783,487,33N
1530784,72,33N
1531922,29,33N
1531926,71,33N
1531923,46,33N
1541733,54,33N
1541736,0,33N
1541732,243,33N
1541737,13,33N
1541734,0,33N
1541746,450,33N
1541738,384,33N
1541739,221,33N
1541747,546,33N
1542071,291,33N
1545466,208,33N
1545471,234,33N
1545470,212,33N
1545469,60,33N
1545472,115,33N
1548958,0,33N
1548966,0,33N
1548961,7,33N
1548964,446,33N
1550006,0,33N
1550007,131,33N
1550008,223,33N
1550010,0,33N
1550009,37,33N
1549336,212,33N
1549338,326,33N
1549329,430,33N
1549330,8,33N
1549332,0,33N
1549334,348,33N
1571846,484,33N
1571855,541,33N
1572215,25,33N
1572214,54,33N
1573167,0,33N
1573166,168,33N
1573168,472,33N
1573225,1,33N
1573229,11,33N
1573232,115,33N
1573797,293,33N
1573791,204,33N
1573795,116,33N
1573798,138,33N
1573793,292,33N
1574357,18,33N
1574358,12,33N
1574359,0,33N
1574361,881,33N
1574360,105,33N
1574362,25,33N
1574364,402,33N
1574363,151,33N
1574677,3,33N
1578807,153,33N
1579415,160,33N
1579417,810,33N
1579416,312,33N
1579423,123,33N
1579901,53,33N
1579900,34,33N
1579902,39,33N
1580088,21,33N
1580091,0,33N
1580089,0,33N
1580090,33,33N
1580094,0,33N
1580994,285,33N
1582346,0,33N
1582347,0,33N
1582351,169,33N
1582353,91,33N
1582354,227,33N
1582355,156,33N
1582352,395,33N
1583556,16,33N
1583231,131,33N
1583235,94,33N
1583230,0,33N
1583236,17,33N
1583228,376,33N
1583232,2,33N
1583234,7,33N
1583554,0,33N
1583229,86,33N
1582715,113,33N
1582716,0,33N
1583553,333,33N
1582712,3,33N
1582713,28,33N
1582714,23,33N
1588793,66,33N
1588832,0,33N
1588807,69,33N
1588794,111,33N
1611907,140,33N
1612656,170,33N
1612654,432,33N
1612655,258,33N
1612662,256,33N
1613059,56,33N
1614005,348,33N
1614004,104,33N
1614006,14,33N
1614003,222,33N
1614119,0,33N
1614118,252,33N
1614122,376,33N
1614128,8,33N
1614126,187,33N
1614121,149,33N
1614125,0,33N
1614346,1168,33N
1614349,969,33N
1614348,7,33N
1614350,425,33N
1614499,8,33N
